<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2024-12-17 23:00:00,32766.0,32766.0,32766.0,32766.0,1.0
2024-12-19 23:00:00,32628.0,32628.0,32628.0,32628.0,1.0
2024-12-20 23:00:00,33492.0,37413.0,33492.0,37089.0,5.0
2024-12-23 23:00:00,37089.0,38165.0,37089.0,37454.0,7.0
2024-12-24 23:00:00,36967.0,36967.0,36967.0,36967.0,2.0
2024-12-26 23:00:00,37527.0,37527.0,37527.0,37527.0,5.0
2024-12-30 23:00:00,40849.0,41000.0,40849.0,41000.0,2.0
2025-01-03 23:00:00,41260.0,41896.0,40273.0,40390.0,10.0
2025-01-09 23:00:00,40599.0,40599.0,40599.0,40599.0,1.0
2025-01-10 23:00:00,41260.0,41260.0,41260.0,41260.0,1.0
2025-01-13 23:00:00,41605.0,41605.0,41023.0,41175.0,4.0
2025-01-14 23:00:00,40572.0,40572.0,40491.0,40491.0,3.0
2025-01-16 23:00:00,40214.0,40540.0,40214.0,40330.0,11.0
2025-01-17 23:00:00,39862.0,39862.0,39862.0,39862.0,1.0
2025-01-20 23:00:00,40353.0,40865.0,39854.0,40060.0,16.0
2025-01-21 23:00:00,39854.0,39865.0,39332.0,39865.0,10.0
2025-01-22 23:00:00,39402.0,40312.0,39402.0,40312.0,5.0
2025-01-23 23:00:00,39549.0,39549.0,38349.0,38662.0,15.0
2025-01-24 23:00:00,38224.0,38673.0,38167.0,38673.0,14.0
2025-01-27 23:00:00,38457.0,38686.0,38100.0,38139.0,6.0
2025-01-28 23:00:00,37796.0,38220.0,37500.0,38220.0,9.0
2025-01-29 23:00:00,38386.0,38946.0,38386.0,38617.0,11.0
2025-01-30 23:00:00,38620.0,38741.0,38577.0,38577.0,18.0
2025-01-31 23:00:00,38341.0,38341.0,37750.0,37750.0,14.0
2025-02-03 23:00:00,37760.0,37760.0,36445.0,36495.0,21.0
2025-02-04 23:00:00,36994.0,36995.0,36500.0,36658.0,8.0
2025-02-05 23:00:00,36522.0,36565.0,35400.0,36040.0,45.0
2025-02-06 23:00:00,36137.0,36802.0,36137.0,36589.0,35.0
2025-02-07 23:00:00,36288.0,36288.0,36074.0,36183.0,5.0
2025-02-10 23:00:00,36271.0,36362.0,36034.0,36362.0,10.0
2025-02-11 23:00:00,36225.0,36689.0,35967.0,36689.0,20.0
2025-02-12 23:00:00,36883.0,37152.0,36673.0,36760.0,43.0
2025-02-13 23:00:00,37196.0,40042.0,37196.0,39653.0,116.0
2025-02-14 23:00:00,39653.0,41143.0,38550.0,38879.0,96.0
2025-02-17 23:00:00,38570.0,40939.0,38569.0,40939.0,57.0
2025-02-18 23:00:00,40347.0,41112.0,40339.0,40339.0,58.0
2025-02-19 23:00:00,40052.0,40424.0,39875.0,39900.0,44.0
2025-02-20 23:00:00,40409.0,40831.0,40101.0,40300.0,53.0
2025-02-21 23:00:00,40425.0,41935.0,40365.0,41421.0,152.0
2025-02-24 23:00:00,41600.0,43980.0,41600.0,42935.0,217.0
2025-02-25 23:00:00,43186.0,46839.0,43140.0,43427.0,418.0
2025-02-26 23:00:00,43299.0,44554.0,41983.0,42844.0,266.0
2025-02-27 23:00:00,42501.0,42671.0,41092.0,42570.0,83.0
2025-02-28 23:00:00,41540.0,41540.0,40061.0,40061.0,115.0
2025-03-03 23:00:00,40500.0,41864.0,39600.0,40262.0,73.0
2025-03-04 23:00:00,40000.0,42630.0,39849.0,42450.0,122.0
2025-03-05 23:00:00,42857.0,43972.0,42268.0,43972.0,118.0
2025-03-06 23:00:00,43770.0,43770.0,42593.0,43200.0,187.0
2025-03-07 23:00:00,43221.0,43865.0,41519.0,41806.0,196.0
2025-03-10 23:00:00,41972.0,42590.0,41764.0,42127.0,84.0
2025-03-11 23:00:00,42237.0,42532.0,41935.0,42215.0,73.0
2025-03-12 23:00:00,42241.0,42282.0,40904.0,41711.0,215.0
2025-03-13 23:00:00,41834.0,41834.0,40448.0,41470.0,354.0
2025-03-14 23:00:00,41711.0,42408.0,40865.0,41413.0,283.0
2025-03-17 23:00:00,41340.0,42653.0,41300.0,42653.0,342.0
2025-03-18 23:00:00,42478.0,43390.0,42304.0,42611.0,502.0
