<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2025-01-17 23:00:00,252.3,252.3,252.3,252.3,1.0
2025-02-12 23:00:00,250.0,250.0,250.0,250.0,1.0
2025-02-13 23:00:00,230.8,247.2,230.8,247.2,3.0
2025-02-14 23:00:00,248.9,249.0,248.9,249.0,2.0
2025-02-19 23:00:00,249.0,249.0,249.0,249.0,1.0
2025-02-20 23:00:00,247.0,247.0,247.0,247.0,2.0
2025-02-21 23:00:00,237.6,237.6,237.6,237.6,1.0
2025-02-24 23:00:00,243.0,243.0,221.3,221.3,2.0
2025-02-25 23:00:00,228.0,228.0,228.0,228.0,1.0
2025-02-26 23:00:00,233.0,233.0,233.0,233.0,1.0
2025-02-27 23:00:00,219.7,219.7,219.7,219.7,1.0
2025-02-28 23:00:00,238.8,238.8,238.8,238.8,1.0
2025-03-06 23:00:00,216.0,216.0,216.0,216.0,1.0
2025-03-10 23:00:00,213.2,213.2,213.2,213.2,1.0
2025-03-14 23:00:00,212.0,215.7,205.2,215.7,3.0
2025-03-17 23:00:00,205.2,205.2,205.2,205.2,1.0
2025-03-18 23:00:00,205.1,205.1,205.1,205.1,1.0
2025-03-19 23:00:00,215.9,215.9,215.9,215.9,1.0
2025-03-20 23:00:00,209.0,209.0,209.0,209.0,1.0
2025-03-26 23:00:00,216.0,216.0,216.0,216.0,1.0
2025-03-28 23:00:00,219.0,219.0,219.0,219.0,1.0
2025-03-31 23:00:00,213.0,213.0,203.1,203.1,27.0
2025-04-01 23:00:00,204.0,210.0,200.4,210.0,9.0
2025-04-02 23:00:00,205.0,205.0,205.0,205.0,1.0
2025-04-03 23:00:00,203.0,203.0,194.0,194.1,11.0
2025-04-04 23:00:00,194.0,194.0,181.2,186.1,21.0
