<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2025-02-18 23:00:00,11230.0,11230.0,11230.0,11230.0,1.0
2025-02-19 23:00:00,11220.0,11220.0,10982.0,10982.0,2.0
2025-02-20 23:00:00,11440.0,11440.0,11390.0,11390.0,6.0
2025-02-21 23:00:00,11500.0,11500.0,11400.0,11400.0,106.0
2025-02-24 23:00:00,11390.0,11400.0,11390.0,11400.0,610.0
2025-02-25 23:00:00,11660.0,11850.0,11478.0,11650.0,214.0
2025-02-26 23:00:00,11750.0,12090.0,11506.0,11550.0,680.0
2025-02-27 23:00:00,11595.0,11595.0,11425.0,11500.0,1579.0
2025-02-28 23:00:00,11549.0,11549.0,11470.0,11470.0,335.0
2025-03-03 23:00:00,11575.0,11600.0,11420.0,11450.0,842.0
2025-03-04 23:00:00,11444.0,12059.0,11444.0,11590.0,8262.0
2025-03-05 23:00:00,11629.0,11715.0,11623.0,11670.0,2835.0
2025-03-06 23:00:00,11746.0,11751.0,11635.0,11696.0,1477.0
2025-03-07 23:00:00,11707.0,11945.0,11707.0,11825.0,3696.0
2025-03-10 23:00:00,11865.0,12000.0,11860.0,11863.0,2148.0
2025-03-11 23:00:00,11856.0,11895.0,11731.0,11766.0,4144.0
2025-03-12 23:00:00,11762.0,11800.0,11700.0,11756.0,8908.0
2025-03-13 23:00:00,11856.0,11856.0,11712.0,11755.0,991.0
2025-03-14 23:00:00,11796.0,11859.0,11745.0,11820.0,828.0
2025-03-17 23:00:00,11803.0,11917.0,11787.0,11915.0,984.0
2025-03-18 23:00:00,11905.0,11915.0,11871.0,11905.0,2630.0
