DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-09-21 23:00:00,14.399,14.399,14.399,14.399,1.0
2023-09-22 23:00:00,14.66,14.66,14.66,14.66,1.0
2023-09-25 23:00:00,14.729,14.729,14.729,14.729,1.0
2023-09-26 23:00:00,14.459,14.459,14.336,14.336,4.0
2023-10-02 23:00:00,14.499,14.499,14.498,14.498,3.0
2023-10-04 23:00:00,14.741,14.742,14.7,14.742,3.0
2023-10-06 23:00:00,14.701,14.948,14.701,14.948,18.0
2023-10-09 23:00:00,14.891,15.4,14.891,15.29,38.0
2023-10-10 23:00:00,15.191,15.249,15.0,15.249,8.0
2023-10-11 23:00:00,15.215,15.219,15.215,15.219,2.0
2023-10-12 23:00:00,15.115,15.115,14.85,14.928,16.0
2023-10-13 23:00:00,14.901,14.917,14.779,14.779,7.0
2023-10-16 23:00:00,14.61,14.66,14.61,14.66,2.0
2023-10-17 23:00:00,14.605,14.66,14.604,14.66,3.0
2023-10-18 23:00:00,14.601,14.619,14.578,14.578,4.0
2023-10-19 23:00:00,14.72,14.729,14.611,14.611,9.0
2023-10-20 23:00:00,14.502,14.502,14.5,14.5,26.0
2023-10-23 23:00:00,14.406,14.509,14.4,14.509,14.0
2023-10-24 23:00:00,14.271,14.55,14.265,14.285,15.0
2023-10-25 23:00:00,14.2,14.2,14.2,14.2,13.0
2023-10-26 23:00:00,14.201,14.201,14.2,14.2,2.0
2023-10-27 23:00:00,14.4,14.4,14.161,14.175,7.0
2023-10-30 23:00:00,14.2,14.2,14.2,14.2,3.0
2023-10-31 23:00:00,14.29,14.298,14.29,14.298,7.0
2023-11-02 23:00:00,14.202,14.334,14.201,14.334,12.0
2023-11-06 23:00:00,14.3,14.5,14.3,14.35,12.0
2023-11-07 23:00:00,14.331,14.331,14.095,14.2,4.0
2023-11-14 23:00:00,14.2,14.2,14.2,14.2,1.0
2023-11-15 23:00:00,14.2,14.25,14.2,14.25,12.0
2023-11-16 23:00:00,14.205,14.248,14.002,14.248,22.0
2023-11-17 23:00:00,14.248,14.282,14.0,14.0,43.0
2023-11-20 23:00:00,13.97,14.339,13.97,14.339,3.0
2023-11-21 23:00:00,14.072,14.072,14.071,14.071,10.0
2023-11-22 23:00:00,14.172,14.173,14.172,14.173,2.0
2023-11-23 23:00:00,14.279,14.279,14.2,14.2,4.0
2023-11-27 23:00:00,14.28,14.3,14.2,14.299,4.0
2023-11-28 23:00:00,14.222,14.222,14.185,14.185,3.0
2023-11-29 23:00:00,14.289,14.297,14.289,14.297,2.0
2023-11-30 23:00:00,14.297,14.299,14.25,14.25,4.0
2023-12-01 23:00:00,14.283,14.328,14.283,14.327,8.0
2023-12-04 23:00:00,14.251,14.549,14.251,14.295,5.0
2023-12-05 23:00:00,14.28,14.49,14.28,14.49,3.0
2023-12-06 23:00:00,14.549,14.549,14.24,14.24,10.0
2023-12-07 23:00:00,14.24,14.49,14.24,14.49,14.0
2023-12-11 23:00:00,14.399,14.488,14.2,14.2,12.0
2023-12-13 23:00:00,14.249,14.249,14.249,14.249,4.0
2023-12-15 23:00:00,14.249,14.249,14.051,14.051,2.0
2023-12-20 23:00:00,14.06,14.338,14.058,14.338,186.0
2023-12-21 23:00:00,14.3,14.3,14.3,14.3,1.0
