DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-09-22 23:00:00,25.0,25.0,25.0,25.0,1.0
2023-09-25 23:00:00,27.5,27.5,27.5,27.5,1.0
2023-09-27 23:00:00,29.0,29.0,29.0,29.0,1.0
2023-10-04 23:00:00,28.6,28.6,28.6,28.6,1.0
2023-10-06 23:00:00,28.6,28.672,28.6,28.672,2.0
2023-10-10 23:00:00,27.408,27.408,27.408,27.408,1.0
2023-10-11 23:00:00,28.699,28.699,28.699,28.699,1.0
2023-10-12 23:00:00,27.512,27.512,27.411,27.411,2.0
2023-10-13 23:00:00,28.298,28.299,28.298,28.299,2.0
2023-10-20 23:00:00,27.333,27.333,27.333,27.333,1.0
2023-10-27 23:00:00,27.385,27.385,27.03,27.03,3.0
2023-10-30 23:00:00,27.447,27.449,27.447,27.449,2.0
2023-10-31 23:00:00,27.002,28.195,27.002,27.95,16.0
2023-11-01 23:00:00,27.997,27.997,27.997,27.997,1.0
2023-11-03 23:00:00,26.289,26.289,26.289,26.289,1.0
2023-11-15 23:00:00,25.526,25.526,25.525,25.525,2.0
2023-11-29 23:00:00,24.699,24.699,24.699,24.699,1.0
2023-12-01 23:00:00,26.0,26.0,25.9,25.9,3.0
2023-12-26 23:00:00,27.5,27.795,27.5,27.795,2.0
2023-12-29 23:00:00,27.028,27.028,27.015,27.015,2.0
2024-01-15 23:00:00,24.83,26.0,24.83,26.0,3.0
2024-01-17 23:00:00,25.211,25.211,25.211,25.211,1.0
2024-01-18 23:00:00,25.501,25.501,25.5,25.5,2.0
2024-02-29 23:00:00,27.983,27.989,25.31,25.7,10.0
2024-03-01 23:00:00,24.85,25.333,24.85,25.301,3.0
2024-03-12 23:00:00,26.813,26.816,24.764,24.764,11.0
2024-03-14 23:00:00,26.17,28.042,23.967,25.09,27.0
