DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-09-22 23:00:00,26.0,26.0,25.72,25.85,7.0
2023-09-25 23:00:00,26.0,26.0,26.0,26.0,10.0
2023-09-26 23:00:00,25.5,25.57,25.38,25.38,22.0
2023-09-27 23:00:00,25.43,25.43,25.08,25.1,11.0
2023-09-28 23:00:00,25.26,25.33,25.2,25.2,7.0
2023-09-29 23:00:00,25.68,25.76,25.15,25.15,10.0
2023-10-02 23:00:00,25.0,25.0,24.37,24.37,19.0
2023-10-03 23:00:00,24.39,24.39,24.05,24.08,22.0
2023-10-04 23:00:00,24.22,24.22,23.75,23.75,25.0
2023-10-05 23:00:00,23.82,23.82,23.82,23.82,1.0
2023-10-06 23:00:00,23.96,24.43,23.96,24.43,8.0
2023-10-09 23:00:00,24.36,24.71,24.36,24.4,12.0
2023-10-10 23:00:00,24.59,24.66,24.39,24.66,11.0
2023-10-11 23:00:00,24.62,24.72,24.62,24.72,11.0
2023-10-12 23:00:00,24.84,24.84,24.84,24.84,3.0
2023-10-13 23:00:00,24.9,25.17,24.9,25.17,7.0
2023-10-16 23:00:00,25.19,25.58,25.02,25.2,26.0
2023-10-17 23:00:00,25.06,25.41,25.06,25.41,2.0
2023-10-18 23:00:00,25.29,25.72,25.29,25.29,13.0
2023-10-19 23:00:00,25.19,25.25,25.19,25.25,2.0
2023-10-20 23:00:00,25.64,26.0,25.64,25.87,36.0
2023-10-23 23:00:00,25.86,25.86,25.49,25.49,11.0
2023-10-24 23:00:00,25.48,25.7,25.4,25.4,6.0
2023-10-25 23:00:00,25.25,25.25,25.23,25.23,2.0
2023-10-26 23:00:00,25.88,25.88,25.2,25.2,4.0
2023-10-27 23:00:00,25.4,25.4,25.4,25.4,1.0
2023-10-30 23:00:00,25.51,25.79,25.51,25.79,17.0
2023-10-31 23:00:00,25.52,25.93,25.5,25.93,5.0
2023-11-01 23:00:00,25.5,25.53,25.3,25.53,8.0
2023-11-02 23:00:00,25.3,25.3,25.3,25.3,2.0
2023-11-03 23:00:00,25.07,25.07,25.07,25.07,1.0
2023-11-06 23:00:00,25.94,25.94,25.12,25.62,4.0
2023-11-07 23:00:00,25.16,25.63,25.13,25.13,6.0
2023-11-08 23:00:00,25.04,25.1,25.04,25.07,25.0
2023-11-09 23:00:00,25.58,25.58,25.45,25.45,6.0
2023-11-10 23:00:00,25.03,25.03,25.03,25.03,2.0
2023-11-13 23:00:00,24.91,25.36,24.71,24.95,22.0
2023-11-15 23:00:00,25.85,25.9,25.78,25.9,15.0
2023-11-16 23:00:00,25.12,26.05,25.12,25.44,23.0
2023-11-17 23:00:00,25.55,25.96,25.55,25.96,8.0
2023-11-20 23:00:00,25.38,25.69,25.38,25.69,8.0
2023-11-21 23:00:00,25.69,26.06,25.12,26.04,54.0
2023-11-22 23:00:00,25.99,26.05,25.71,25.71,12.0
2023-11-23 23:00:00,25.99,26.05,25.47,25.66,57.0
2023-11-24 23:00:00,25.9,26.12,25.81,26.11,36.0
2023-11-27 23:00:00,26.1,26.72,25.86,26.71,153.0
2023-11-28 23:00:00,26.25,26.81,26.24,26.7,48.0
2023-11-29 23:00:00,26.75,27.14,26.67,26.84,28.0
2023-11-30 23:00:00,26.37,26.89,26.37,26.89,31.0
2023-12-01 23:00:00,26.96,26.96,26.71,26.82,27.0
2023-12-04 23:00:00,27.01,27.02,26.2,26.2,51.0
2023-12-05 23:00:00,26.24,26.28,25.98,26.0,45.0
2023-12-06 23:00:00,25.89,26.97,25.71,26.0,20.0
2023-12-07 23:00:00,25.76,25.8,25.67,25.7,19.0
2023-12-08 23:00:00,25.67,25.8,25.47,25.78,31.0
2023-12-11 23:00:00,25.28,25.47,24.82,25.0,58.0
2023-12-12 23:00:00,25.0,25.0,24.98,24.98,4.0
2023-12-13 23:00:00,25.0,25.54,24.89,24.97,32.0
2023-12-14 23:00:00,24.81,26.03,24.73,25.67,67.0
2023-12-15 23:00:00,26.19,26.19,25.81,25.81,26.0
2023-12-18 23:00:00,25.82,25.82,25.71,25.71,11.0
2023-12-19 23:00:00,25.7,26.2,25.7,26.2,17.0
2023-12-20 23:00:00,26.14,26.17,26.14,26.17,10.0
2023-12-21 23:00:00,25.78,26.36,25.78,26.36,51.0
2023-12-22 23:00:00,26.21,26.66,26.2,26.37,38.0
2023-12-25 23:00:00,26.3,26.52,25.96,26.15,27.0
2023-12-26 23:00:00,26.18,26.19,25.9,25.9,74.0
2023-12-27 23:00:00,25.99,26.09,25.91,26.09,20.0
2023-12-28 23:00:00,26.14,26.45,26.05,26.15,26.0
2023-12-29 23:00:00,26.1,26.1,25.68,25.99,75.0
2024-01-03 23:00:00,25.91,25.94,25.09,25.31,102.0
2024-01-04 23:00:00,25.16,25.31,24.98,25.23,75.0
2024-01-05 23:00:00,25.15,25.4,25.01,25.4,54.0
2024-01-08 23:00:00,25.26,25.3,25.0,25.3,62.0
2024-01-09 23:00:00,25.14,25.14,24.95,24.98,126.0
2024-01-10 23:00:00,24.97,25.13,24.86,24.88,34.0
2024-01-11 23:00:00,25.02,25.09,24.81,24.91,62.0
2024-01-12 23:00:00,24.8,25.27,24.73,25.27,115.0
2024-01-15 23:00:00,25.06,25.19,25.02,25.11,19.0
2024-01-16 23:00:00,25.04,25.09,25.0,25.0,21.0
2024-01-17 23:00:00,25.02,25.02,24.72,24.72,48.0
2024-01-18 23:00:00,24.75,24.89,24.55,24.67,72.0
2024-01-19 23:00:00,24.67,24.82,24.52,24.52,41.0
2024-01-22 23:00:00,24.61,24.61,24.24,24.4,124.0
2024-01-23 23:00:00,24.44,24.65,24.3,24.46,98.0
2024-01-24 23:00:00,24.48,24.72,24.47,24.62,25.0
2024-01-25 23:00:00,24.54,24.76,24.54,24.76,42.0
2024-01-26 23:00:00,24.65,24.78,24.51,24.52,42.0
2024-01-29 23:00:00,24.45,24.82,24.45,24.7,40.0
2024-01-30 23:00:00,24.86,25.0,24.72,24.72,87.0
2024-01-31 23:00:00,24.74,24.97,24.74,24.97,34.0
2024-02-01 23:00:00,24.94,24.97,24.72,24.81,109.0
2024-02-02 23:00:00,24.92,24.96,24.61,24.61,51.0
2024-02-05 23:00:00,24.71,24.83,24.45,24.47,93.0
2024-02-06 23:00:00,24.5,24.52,24.43,24.52,81.0
2024-02-07 23:00:00,24.58,24.58,24.4,24.53,44.0
2024-02-08 23:00:00,24.41,24.59,24.4,24.53,46.0
2024-02-09 23:00:00,24.61,24.73,24.59,24.69,40.0
2024-02-12 23:00:00,24.56,24.9,24.54,24.71,131.0
2024-02-13 23:00:00,24.64,24.74,24.07,24.22,242.0
2024-02-14 23:00:00,24.21,24.24,24.01,24.12,150.0
2024-02-15 23:00:00,24.11,24.6,24.11,24.6,106.0
2024-02-16 23:00:00,24.41,24.73,24.07,24.73,147.0
2024-02-19 23:00:00,24.77,24.82,24.54,24.54,116.0
2024-02-20 23:00:00,24.56,24.77,24.56,24.77,70.0
2024-02-21 23:00:00,24.67,24.8,24.63,24.71,23.0
2024-02-22 23:00:00,24.61,24.83,24.53,24.57,28.0
2024-02-26 23:00:00,24.6,24.64,24.35,24.42,28.0
2024-02-27 23:00:00,24.32,24.51,24.32,24.33,157.0
2024-02-28 23:00:00,24.33,24.34,24.1,24.25,77.0
2024-02-29 23:00:00,24.28,24.55,24.2,24.47,65.0
2024-03-01 23:00:00,24.45,24.55,24.3,24.55,91.0
2024-03-04 23:00:00,24.59,25.1,24.57,25.09,185.0
2024-03-05 23:00:00,25.09,25.62,25.09,25.46,203.0
2024-03-06 23:00:00,25.33,25.66,25.26,25.66,158.0
2024-03-07 23:00:00,25.62,25.94,25.51,25.88,283.0
2024-03-11 23:00:00,25.9,26.0,25.72,25.93,161.0
2024-03-12 23:00:00,25.98,26.0,25.19,25.66,311.0
2024-03-13 23:00:00,25.65,26.16,25.6,26.12,147.0
2024-03-14 23:00:00,26.16,26.48,26.13,26.2,341.0
