DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-07-18 23:00:00,3.36,3.36,3.36,3.36,1.0
2023-07-19 23:00:00,3.245,3.403,3.245,3.403,2.0
2023-07-28 23:00:00,3.293,3.293,2.656,3.111,31.0
2023-07-31 23:00:00,3.122,3.262,3.119,3.239,8.0
2023-08-02 23:00:00,3.08,3.155,3.05,3.155,4.0
2023-08-03 23:00:00,3.099,3.099,3.099,3.099,2.0
2023-08-04 23:00:00,3.1,3.233,3.0,3.233,3.0
2023-08-07 23:00:00,3.28,3.28,3.28,3.28,1.0
2023-08-14 23:00:00,3.3,3.3,2.66,3.1,9.0
2023-08-15 23:00:00,3.244,3.904,3.244,3.904,20.0
2023-08-16 23:00:00,3.354,3.55,3.264,3.445,14.0
2023-08-22 23:00:00,3.581,3.799,3.351,3.351,7.0
2023-08-23 23:00:00,3.546,3.878,3.546,3.597,14.0
2023-08-24 23:00:00,3.37,3.686,3.37,3.63,15.0
2023-08-25 23:00:00,3.358,3.552,3.358,3.55,3.0
2023-08-28 23:00:00,3.58,3.58,3.58,3.58,1.0
2023-09-04 23:00:00,3.688,3.843,3.517,3.75,11.0
2023-09-05 23:00:00,3.624,3.7,3.624,3.7,3.0
2023-09-06 23:00:00,3.67,3.717,3.586,3.713,10.0
2023-09-08 23:00:00,3.697,3.697,3.697,3.697,1.0
2023-09-11 23:00:00,3.697,3.697,3.55,3.55,12.0
2023-09-12 23:00:00,3.663,3.663,3.411,3.411,15.0
2023-09-14 23:00:00,3.585,3.587,3.322,3.338,29.0
2023-09-15 23:00:00,3.565,3.565,3.565,3.565,1.0
2023-09-19 23:00:00,3.541,3.56,3.541,3.56,7.0
2023-09-20 23:00:00,3.489,3.507,3.489,3.506,16.0
2023-09-21 23:00:00,3.428,3.428,3.428,3.428,2.0
2023-09-25 23:00:00,3.42,3.469,3.415,3.464,8.0
2023-09-26 23:00:00,3.495,3.495,3.419,3.469,18.0
2023-09-27 23:00:00,3.412,3.462,3.394,3.394,9.0
2023-09-28 23:00:00,3.35,3.35,3.348,3.348,9.0
2023-09-29 23:00:00,3.352,3.431,3.351,3.431,13.0
2023-10-02 23:00:00,3.444,3.483,3.409,3.409,4.0
2023-10-03 23:00:00,3.445,3.474,3.408,3.408,3.0
2023-10-04 23:00:00,3.478,3.478,3.43,3.43,2.0
2023-10-05 23:00:00,3.488,3.488,3.476,3.476,2.0
2023-10-06 23:00:00,3.448,3.449,3.436,3.449,4.0
2023-10-09 23:00:00,3.496,3.524,3.451,3.499,19.0
2023-10-10 23:00:00,3.488,3.488,3.488,3.488,1.0
2023-10-11 23:00:00,3.535,3.538,3.496,3.532,9.0
2023-10-12 23:00:00,3.5,3.5,3.372,3.373,23.0
2023-10-13 23:00:00,3.398,3.417,3.395,3.417,6.0
2023-10-16 23:00:00,3.375,3.478,3.375,3.478,18.0
2023-10-17 23:00:00,3.449,3.456,3.441,3.456,3.0
2023-10-18 23:00:00,3.474,3.477,3.377,3.423,16.0
2023-10-19 23:00:00,3.3,3.3,3.152,3.177,155.0
2023-10-20 23:00:00,3.26,3.26,3.169,3.19,79.0
2023-10-23 23:00:00,3.189,3.194,2.971,3.158,27.0
2023-10-24 23:00:00,3.111,3.111,3.028,3.028,46.0
2023-10-25 23:00:00,3.087,3.14,3.083,3.14,18.0
2023-10-27 23:00:00,3.143,3.193,3.049,3.058,46.0
2023-10-30 23:00:00,3.121,3.121,2.934,3.054,29.0
2023-10-31 23:00:00,3.067,3.148,3.031,3.09,28.0
2023-11-01 23:00:00,3.057,3.09,2.948,3.09,3.0
2023-11-02 23:00:00,3.121,3.121,3.07,3.07,4.0
2023-11-03 23:00:00,3.131,3.148,3.033,3.036,17.0
2023-11-06 23:00:00,3.121,3.121,3.121,3.121,1.0
2023-11-07 23:00:00,3.055,3.055,3.034,3.034,21.0
2023-11-09 23:00:00,3.066,3.066,3.007,3.007,2.0
2023-11-13 23:00:00,3.003,3.003,3.003,3.003,2.0
2023-11-14 23:00:00,2.997,3.078,2.997,3.078,13.0
2023-11-15 23:00:00,3.074,3.148,2.925,2.925,5.0
2023-11-16 23:00:00,3.005,3.005,2.999,3.0,16.0
2023-11-17 23:00:00,3.001,3.209,3.0,3.209,14.0
2023-11-20 23:00:00,2.912,3.14,2.802,3.056,67.0
2023-11-21 23:00:00,2.848,3.166,2.802,2.942,190.0
2023-11-22 23:00:00,2.881,3.153,2.881,3.058,80.0
2023-11-23 23:00:00,3.03,3.117,3.0,3.117,181.0
2023-11-24 23:00:00,2.837,3.056,2.822,3.056,11.0
2023-11-27 23:00:00,3.085,3.101,2.961,2.961,12.0
2023-11-28 23:00:00,2.915,3.067,2.915,3.067,2.0
2023-11-29 23:00:00,3.06,3.06,2.879,3.05,66.0
2023-11-30 23:00:00,3.001,3.011,2.849,3.01,105.0
2023-12-01 23:00:00,3.01,3.01,3.01,3.01,1.0
2023-12-04 23:00:00,3.014,3.014,2.999,3.01,260.0
2023-12-05 23:00:00,3.01,3.01,3.0,3.01,8.0
2023-12-06 23:00:00,3.008,3.009,3.008,3.009,80.0
2023-12-07 23:00:00,3.009,3.009,3.008,3.009,7.0
2023-12-08 23:00:00,3.01,3.01,3.009,3.009,11.0
2023-12-11 23:00:00,2.858,2.975,2.741,2.975,37.0
2023-12-12 23:00:00,2.901,2.901,2.87,2.87,27.0
2023-12-13 23:00:00,2.87,2.985,2.823,2.823,15.0
2023-12-14 23:00:00,2.949,2.99,2.949,2.99,53.0
2023-12-15 23:00:00,2.998,2.998,2.99,2.99,6.0
2023-12-18 23:00:00,2.99,3.0,2.99,3.0,93.0
2023-12-19 23:00:00,3.061,3.063,3.02,3.054,43.0
